Frases,Tipo texto
"En el tribunal, el juez dictó una sentencia en un caso de alto perfil. Cada palabra era un veredicto que tendría un impacto en la vida de los involucrados.",IA
"El médico, en su consultorio, realizó un diagnóstico médico y recetó medicamentos a su paciente. Cada medicamento era una prescripción para la recuperación.",IA
La densidad de la mama es la cantidad relativa de grasa -que aquí se ve en amarillo- en relación al tejido conectivo y epitelial -que se ve en rosa-.,Humano
"El bosque, un tapiz de árboles y hojas, era un laberinto de sombras y sonidos, donde los animales ocultos eran como personajes en un cuento de hadas.",IA
La ética de la virtud se centra en el desarrollo de virtudes morales como la honestidad y la compasión. Esta rama de la ética se preocupa por la construcción del carácter y la moralidad personal.,IA
"Según el Presidente iraquí Jalal Talabani, al parecer este problema ha sido “resuelto” mediante confesiones que se han podido obtener.",Humano
"Se utiliza en la conducción autónoma para mejorar la seguridad vial la inteligencia artificial, un avance tecnológico clave.",IA
La carta de renuncia a un cargo político anunciaba la decisión de un funcionario de dejar su cargo. El autor expresaba sus logros y agradecía a la comunidad por su apoyo.,IA
"Si hemos de creer las encuestas de opinión, el 29 de mayo los franceses rechazarán el borrador de tratado constitucional de la Unión Europea.",Humano
"En el rincón escondido del jardín, una fuente de agua cristalina burbujeaba suavemente. Las flores coloridas se reflejaban en su superficie, como si el agua fuera un espejo mágico.",IA
Los residentes locales dicen que los cortes en las comunicaciones también han complicado los esfuerzos de asistencia y distribución para inundaciones tras las lluvias monzónicas.,Humano
"El Consejo de Ministros se encontró en el palacio presidencial más tarde esa mañana, mientras que la policía atacó a la universidad y detuvo a varios estudiantes.",Humano
"En un rincón del café, dos desconocidos se encontraron por casualidad. Sus miradas se cruzaron y comenzaron una conversación que cambiaría el curso de sus vidas.",IA
"A continuación hay algunos de los comentarios colgados en la noticia de la manifestación en Ammon News , una página web local de noticias.",Humano
La literatura de ciencia ficción explora futuros alternativos y avances tecnológicos. Autores como Isaac Asimov han especulado sobre la robótica y la inteligencia artificial.,IA
"Lo más probable es que California no pueda pagar la totalidad del proyecto, lo que haría que el primer segmento en el escasamente poblado Valle Central sea de poca utilidad.",Humano
El cómic de superhéroes seguía las aventuras de un justiciero enmascarado que luchaba contra el crimen en la ciudad. Cada viñeta presentaba momentos de acción y heroísmo.,IA
"Alton Ellis, el músico jamaiquino que fue el principal pionero de la música rocksteady en los años sesenta, murió el pasado viernes, 10 de octubre, tras un año de luchar contra el cáncer.",Humano
"El explorador se adentró en el misterioso bosque, donde las sombras de los árboles danzaban en la penumbra. Cada paso era un susurro en la sinfonía de la naturaleza.",IA
"Además, la extrema derecha de Europa occidental puede tomar como ejemplo el manejo que hace Putin de su organización juvenil, el movimiento Nashi.",Humano
"En tanto no hizo un llamado al odio, la violencia ni el terrorismo, no a la censura sin una clara, abierta y razonable decisión judicial.",Humano
(Desafortunadamente todos se quedarán callados: Arabia Saudita controla el (petróleo) cordón umbilical de los países capitalistas y el cordón umbilical espiritual de los países islámicos).,Humano
"El bosque nocturno estaba lleno de misterio y maravilla. Las luciérnagas destellaban como estrellas fugaces, guiando el camino de los viajeros nocturnos.",IA
"El éxito de México se ve en todas partes, excepto donde más cuenta en el largo plazo: su productividad general y crecimiento económico.",Humano
Tiene la esperanza de que la próxima generación de su país no tenga que sufrir nunca más el destino de los trabajadores migrantes.,Humano
Esta labor no es solamente un trabajo de las madres y los padres de familia; tiene que ser un trabajo que involucre al resto de la sociedad.,Humano
"El meteorólogo, en el estudio de televisión, pronosticó el tiempo para la próxima semana. Cada pronóstico era una predicción basada en datos meteorológicos.",IA
La poesía contemporánea es diversa en estilo y contenido. Poetas como Langston Hughes y Maya Angelou han abordado cuestiones sociales y personales en sus versos.,IA
"Crucial para la calidad de vida y el bienestar es una alimentación saludable, una base para la salud.",IA
La carta de recomendación de un empleado respaldaba las habilidades y la ética de trabajo de un colega. El autor destacaba la contribución del empleado a la empresa.,IA
"La investigación científica es fundamental para el avance del conocimiento y la solución de problemas complejos de la sociedad."",",IA
Que esto venga tan pronto después del perturbador apoyo de Kedah MB Azizan por el uso de UUCA en cinco estudiantes universitarios.,Humano
"@ooulabi: Aún está por verse alguna prueba de combatientes iraníes o Hezbolá involucrados en todo esto, esta tiene que ser la mejor broma del mundo.",Humano
"En la granja de ovejas, los pastores cuidaban de los rebaños y esquilaban la lana, una vida en armonía con la naturaleza y los animales.",IA
"El explorador, con su brújula y mochila, navegaba como un capitán de aventuras en busca de tesoros escondidos, cada descubrimiento era un hallazgo valioso.",IA
