Frases,Tipo texto
Sabes que es amor cuando todo lo que deseas es estar a todas horas con la otra persona y de alguna manera sabes que la otra persona siente lo mismo que tú.,Humano
"Los montañistas entraron en la cabaña. No era muy grande pero era acogedora, con sus grandes ventanales y sus sillones. Javier prendió la chimenea para que se calentara el ambiente y Sandra comenzó a preparar unos bocadillos. Cenaron sentados junto al fuego porque hacía mucho frío.",Humano
"Miguel nunca antes había visto un objeto así. Era una caja azul brillante que no parecía poder abrirse ya que no tenía fisuras o un lugar donde colocar una llave. Parecía ser hueca, porque él la golpeó y retumbó un poco. Parecía que no tenía nada dentro, porque él la agitó y no se escuchaba nada. Era una caja muy misteriosa y Miguel no entendía por qué se la habían dejado en la entrada de su casa.",Humano
"Enzo le preguntó la hora a su colega, pero este no le respondió porque no lo había escuchado. Enzo le hizo la misma pregunta otra vez y su colega le contestó que eran las dos y media. Enzo le dijo que se tenían que apresurar para terminar el trabajo, porque tenían que presentárselo al jefe en menos de una hora, pero su colega, muy tranquilamente, le contestó que tendrían todo listo en diez minutos.",Humano
"El marinero fue hacia la popa, se dio cuenta de que se avecinaba una tormenta y fue corriendo hasta donde estaba el capitán para avisarle que tenían que cambiar de rumbo. El capitán decidió que irían a una isla que conocía y que quedaba cerca del lugar donde estaban. Por suerte, el viento soplaba a favor del nuevo rumbo y no tardaron mucho en llegar.",Humano
"El campo estaba en un valle rodeado de montañas nevadas. Era muy colorido porque había plantaciones de muchos tipos de flores y, por eso, olía muy bien. A la izquierda del camino que cruzaba este extenso lugar había una cabaña que tenía una chimenea que echaba humo. Al lado de la cabaña había dos caballos que tomaban agua de un pequeño arroyo. No había personas fuera de la casa, pero la puerta estaba abierta.",Humano
"El cazador había perdido todas sus herramientas de caza, pero se dio cuenta de que no las necesitaba porque podía alimentarse de las frutas que crecían en los árboles. Se puso muy contento con esta determinación y decidió que, cuando llegara a la ciudad, les diría a sus amigos que no practicaría esta actividad nunca más, porque había aprendido a respetar a la naturaleza.",Humano
"Todas las personas caminaban rápido cuando pasaban por la entrada de la casa abandonada y realmente entiendo el porqué; la casa era aterradora. La entrada tenía una reja pintada de blanco, pero que estaba muy oxidada. En el jardín delantero el pasto estaba quemado y había un camino de piedras hasta la puerta. La puerta tenía dos hojas de madera de dos metros, que se notaba que en algún momento habían sido muy hermosas, pero ya no lo eran. Había cuatro ventanas, dos en la planta baja y dos en la planta alta, que estaban tapiadas. Nadie sabía de quién había sido la casa, era como si siempre hubiera estado así, abandonada.",Humano
"Sonó el timbre y Estela atendió, preguntó quién era, pero nadie contestó. Después se oyó una voz que decía que era Pedro. Estela contestó que no conocía a ningún Pedro y que creía que se estaba confundiendo de timbre. Pedro le preguntó al encargado del edificio si allí vivía Marcos y el portero le contestó que no conocía a nadie con ese nombre que viviera en ese edificio.",Humano
"Gabriela salió a caminar, hizo media cuadra y dobló a la derecha. Vio cómo abrían las tiendas y cómo el sol comenzaba a calentar el asfalto. Siguió caminando hacia el sur, donde se terminaba el asfalto y, por lo tanto, donde se terminaba el pueblo. Al pisar el pasto se sintió mejor porque sabía que ya le faltaba poco para llegar al bosque. Caminó un kilómetro más, hasta que vio los primeros árboles y la orilla del lago.",Humano
